school_name,Longitude,Latitude
SEMBAWANG SECONDARY SCHOOL,103.8172117,1.4458198
SENG KANG SECONDARY SCHOOL,103.8985519,1.386559
SERANGOON GARDEN SECONDARY SCHOOL,103.8694184,1.3695073
SERANGOON SECONDARY SCHOOL,103.9022586,1.3750545
SINGAPORE CHINESE GIRLS' SCHOOL,103.828107,1.3211127
SPECTRA SECONDARY SCHOOL,103.8046821,1.4365125
SPRINGFIELD SECONDARY SCHOOL,103.9300265,1.349796
ST. ANDREW'S SECONDARY SCHOOL,103.8658417,1.331532
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,103.9435588,1.3349612
ST. GABRIEL'S SECONDARY SCHOOL,103.8754112,1.347023
ST. HILDA'S SECONDARY SCHOOL,103.9370129,1.3496839
ST. MARGARET'S SCHOOL (SECONDARY),103.8095942,1.3199814
ST. PATRICK'S SCHOOL,103.9169367,1.3088628
SWISS COTTAGE SECONDARY SCHOOL,103.7505642,1.3647753
TAMPINES SECONDARY SCHOOL,103.9440577,1.3498319
TANJONG KATONG GIRLS' SCHOOL,103.8959056,1.3086304
TANJONG KATONG SECONDARY SCHOOL,103.8975991,1.3083424
TEMASEK SECONDARY SCHOOL,103.9480281,1.3161308
UNITY SECONDARY SCHOOL,103.7461138,1.3996484
VICTORIA SCHOOL,103.9277994,1.3088257
WEST SPRING SECONDARY SCHOOL,103.7599975,1.3876582
WESTWOOD SECONDARY SCHOOL,103.7018617,1.3538383
WHITLEY SECONDARY SCHOOL,103.8432287,1.3553956
WOODGROVE SECONDARY SCHOOL,103.7963373,1.4286537
WOODLANDS RING SECONDARY SCHOOL,103.7772815,1.4308571
WOODLANDS SECONDARY SCHOOL,103.7744201,1.4397997
XINMIN SECONDARY SCHOOL,103.8827875,1.3725013
YIO CHU KANG SECONDARY SCHOOL,103.8477804,1.3717963
YISHUN SECONDARY SCHOOL,103.8290886,1.4281937
YISHUN TOWN SECONDARY SCHOOL,103.8384964,1.432482
YUAN CHING SECONDARY SCHOOL,103.7211977,1.3422621
YUHUA SECONDARY SCHOOL,103.7224462,1.3473212
YUSOF ISHAK SECONDARY SCHOOL,103.7605371,1.3427472
YUYING SECONDARY SCHOOL,103.8901059,1.3571717
ZHENGHUA SECONDARY SCHOOL,103.7652707,1.3887839
ZHONGHUA SECONDARY SCHOOL,103.8692611,1.3493936
