STATION_NA,coordinates
COMPASSVALE LRT STATION,"[[103.9006164696, 1.39432752151004], [103.900706597553, 1.39453417229989]]"
CORAL EDGE LRT STATION,"[[103.912708744367, 1.39397080711083], [103.91265223397, 1.39368465222162]]"
COVE LRT STATION,"[[103.905928735776, 1.399124393509], [103.9061760136, 1.39930265660882]]"
DAKOTA MRT STATION,"[[103.889307215344, 1.30881418752426], [103.887979337682, 1.30809675040545]]"
DAMAI LRT STATION,"[[103.908792226992, 1.40528461343374], [103.908613856028, 1.40504602830874]]"
DHOBY GHAUT MRT STATION,"[[103.844747857191, 1.29964924216132], [103.846787971786, 1.29844509204817], [103.845229558929, 1.29905589070891], [103.84537229423, 1.29974847066982], [103.845842318018, 1.29963489191106], [103.845030131864, 1.29993066561743]]"
DOVER MRT STATION,"[[103.778304715288, 1.31141543344877], [103.778464771304, 1.31169319167964]]"
DOWNTOWN MRT STATION,"[[103.852427746441, 1.27979623969206], [103.852478046399, 1.27952791063231], [103.85290812847, 1.27960131828225], [103.853152091961, 1.27944436839161], [103.853013759131, 1.27917604078089], [103.852646560011, 1.27977345528297]]"
ESPLANADE MRT STATION,"[[103.856305554739, 1.29337054827687], [103.85492020244, 1.29358640073634], [103.855855203772, 1.29290433691952], [103.856175670935, 1.29292718733646], [103.855567841069, 1.29312881366023], [103.855104632111, 1.29381950731267], [103.85583375579, 1.29262374346665]]"
EUNOS MRT STATION,"[[103.903215186978, 1.31952991880127], [103.902894137842, 1.31951727489935], [103.902582077618, 1.3195625452698]]"
EXPO MRT STATION,"[[103.961942958226, 1.33532172433891], [103.962075287596, 1.33525294423695], [103.962161021864, 1.33595097171569], [103.963100681762, 1.33483488834327], [103.962123376874, 1.33486331350548], [103.963049007432, 1.33501932038682], [103.961836795084, 1.33548282216596], [103.96286574628, 1.33471194824107]]"
FAJAR LRT STATION,"[[103.770675518445, 1.38446507117965]]"
FARMWAY LRT STATION,"[[103.889407447882, 1.39720034457508], [103.889115016848, 1.39713347750584]]"
FARRER PARK MRT STATION,"[[103.855806657255, 1.3117658772962], [103.856098852115, 1.31188350806091], [103.854763767756, 1.3135439659757], [103.85265097068, 1.31188353723816], [103.853199391142, 1.31142204648133], [103.852974635237, 1.31245360639306], [103.853266824822, 1.31191067869135], [103.854772747378, 1.31232690903703], [103.855500982372, 1.31225903641299]]"
FARRER ROAD MRT STATION,"[[103.807965230708, 1.31749372589551], [103.807389234558, 1.31755201617223]]"
FERNVALE LRT STATION,"[[103.876261653892, 1.3921582676261]]"
FORT CANNING MRT STATION,"[[103.844425031565, 1.29283027594572], [103.844170034197, 1.29240609557825]]"
GARDENS BY THE BAY MRT STATION,"[[103.867154122142, 1.27830343996812], [103.867968767276, 1.27882622333397], [103.868586734111, 1.28037075595564]]"
GEYLANG BAHRU MRT STATION,"[[103.871794271427, 1.32110911579532], [103.871555607569, 1.32156169874025]]"
GREAT WORLD MRT STATION,"[[103.833405504371, 1.29655259456474], [103.833904631248, 1.29332097607264], [103.832627103189, 1.2928694999213], [103.832841014649, 1.29318434464758], [103.832734059176, 1.29381997655443], [103.833037100577, 1.29602983278925]]"
GUL CIRCLE MRT STATION,"[[103.660444143859, 1.31903226656851], [103.659434945517, 1.31883718313345]]"
HARBOURFRONT MRT STATION,"[[103.8215802917, 1.26497195959122], [103.821398857154, 1.26597925499591], [103.820468350461, 1.26601318319783], [103.822509807219, 1.26508503461184], [103.822531651626, 1.26525988373469], [103.820508811132, 1.2651546823432]]"
HAVELOCK MRT STATION,"[[103.833839753358, 1.28667674481792], [103.833495118232, 1.28694406698765], [103.833961901637, 1.28956096428231], [103.834003496172, 1.29016689416429], [103.833369520278, 1.28884356335354]]"
HAW PAR VILLA MRT STATION,"[[103.782006397072, 1.28305527354176]]"
HILLVIEW MRT STATION,"[[103.767108459936, 1.36208433991773], [103.767688290103, 1.36247423794507]]"
HOLLAND VILLAGE MRT STATION,"[[103.79576910839, 1.31106948365962], [103.795753770113, 1.31071120133272], [103.796139102483, 1.31122026577719]]"
HOUGANG MRT STATION,"[[103.892972400972, 1.37194611655273], [103.891975029135, 1.37214183483289], [103.892445723159, 1.37020857826092]]"
JALAN BESAR MRT STATION,"[[103.855296125414, 1.30488989412929], [103.855244564615, 1.30546727989327]]"
JELAPANG LRT STATION,"[[103.764676792845, 1.38683269953093]]"
JOO KOON MRT STATION,"[[103.678520709011, 1.32750208445865], [103.678644077077, 1.32795611143786]]"
JURONG EAST MRT STATION,"[[103.742762081653, 1.33274868462584], [103.741759898309, 1.33398960393819], [103.742640162983, 1.33252623564817], [103.742298193307, 1.33358133108919]]"
KADALOOR LRT STATION,"[[103.916387458482, 1.39980926315018], [103.916517130328, 1.39941146718039]]"
KAKI BUKIT MRT STATION,"[[103.909146276263, 1.33492189034272], [103.909405098626, 1.33531120636956]]"
KALLANG MRT STATION,"[[103.871587075861, 1.3117817705438], [103.871730564168, 1.31154048297553]]"
KANGKAR LRT STATION,"[[103.902147558141, 1.38407450287348], [103.902276368029, 1.38376520316725]]"
KEAT HONG LRT STATION,"[[103.749226841606, 1.37846496701683]]"
KEMBANGAN MRT STATION,"[[103.912899288746, 1.32115210805545], [103.912941079407, 1.32092376028202]]"
KENT RIDGE MRT STATION,"[[103.784809631882, 1.29242811590855], [103.784465895365, 1.29431588700949], [103.784490451682, 1.29398478516701], [103.784534656639, 1.29321880284117]]"
KHATIB MRT STATION,"[[103.832886913694, 1.41754470685258], [103.83292241701, 1.41705821242698], [103.832706667743, 1.41714341792972], [103.833231020039, 1.41786903711686]]"
KING ALBERT PARK MRT STATION,"[[103.783030260215, 1.33553707766976], [103.784561584781, 1.33597604551556]]"
KOVAN MRT STATION,"[[103.884721732122, 1.36020562306327], [103.885450578, 1.36002801014446], [103.884307428636, 1.35970758870125]]"
KRANJI MRT STATION,"[[103.762496770529, 1.42512495935501], [103.761754685561, 1.42512594915704], [103.761940606096, 1.42485264466106], [103.762018515591, 1.42473917121754]]"
KUPANG LRT STATION,"[[103.881139169799, 1.39828419776009], [103.881137936207, 1.39815879147241]]"
LABRADOR PARK MRT STATION,"[[103.802355553663, 1.27210695805434]]"
LAKESIDE MRT STATION,"[[103.721712827003, 1.34430416996866], [103.721075412743, 1.34408145751948], [103.720448529393, 1.3439833412622]]"
LAVENDER MRT STATION,"[[103.863043062903, 1.30716946047274], [103.862650316623, 1.30761853913167]]"
LAYAR LRT STATION,"[[103.880159730519, 1.39202617213173], [103.880142799143, 1.39214453741467]]"
LENTOR MRT STATION,"[[103.835823452024, 1.38589099008684], [103.835359976701, 1.38540982990749], [103.837398080029, 1.38460195423691], [103.837338660064, 1.3836277515433], [103.836839532696, 1.38416237536177]]"
