school_name,Longitude,Latitude
OASIS PRIMARY SCHOOL,103.9109661,1.404285
OPERA ESTATE PRIMARY SCHOOL,103.923657,1.319647
PALM VIEW PRIMARY SCHOOL,103.8918455,1.3838685
PARK VIEW PRIMARY SCHOOL,103.9387243,1.3767026
PASIR RIS PRIMARY SCHOOL,103.9624297,1.3721118
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),103.8848079,1.3509316
PEI CHUN PUBLIC SCHOOL,103.855803,1.3369754
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,103.7762832,1.338061
PEI TONG PRIMARY SCHOOL,103.7675905,1.3161196
PEIYING PRIMARY SCHOOL,103.8302254,1.4174701
PIONEER PRIMARY SCHOOL,103.6948903,1.3487435
POI CHING SCHOOL,103.935891,1.3581554
PRINCESS ELIZABETH PRIMARY SCHOOL,103.740992,1.3494495
PUNGGOL COVE PRIMARY SCHOOL,103.89861,1.4116904
PUNGGOL GREEN PRIMARY SCHOOL,103.8986304,1.4019576
PUNGGOL PRIMARY SCHOOL,103.8947465,1.3783874
PUNGGOL VIEW PRIMARY SCHOOL,103.9053442,1.4051992
QIFA PRIMARY SCHOOL,103.7569937,1.3126189
QIHUA PRIMARY SCHOOL,103.7880722,1.4420189
QUEENSTOWN PRIMARY SCHOOL,103.8078038,1.2959937
RADIN MAS PRIMARY SCHOOL,103.8238563,1.2749703
RAFFLES GIRLS' PRIMARY SCHOOL,103.8063432,1.3298664
RED SWASTIKA SCHOOL,103.9346488,1.3333119
RIVER VALLEY PRIMARY SCHOOL,103.8363542,1.29387
RIVERSIDE PRIMARY SCHOOL,103.8017786,1.4470785
RIVERVALE PRIMARY SCHOOL,103.9043809,1.393272
ROSYTH SCHOOL,103.8750515,1.372736
RULANG PRIMARY SCHOOL,103.7188285,1.3469655
SEMBAWANG PRIMARY SCHOOL,103.8211818,1.4453895
SENG KANG PRIMARY SCHOOL,103.899721,1.389817
SENGKANG GREEN PRIMARY SCHOOL,103.8750348,1.3928298
SHUQUN PRIMARY SCHOOL,103.7215401,1.3475029
SI LING PRIMARY SCHOOL,103.7859154,1.4328411
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,103.828107,1.3211127
SOUTH VIEW PRIMARY SCHOOL,103.7461713,1.3816949
SPRINGDALE PRIMARY SCHOOL,103.8901125,1.3951189
ST. ANDREW'S JUNIOR SCHOOL,103.8651164,1.331325
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,103.9435588,1.3349612
ST. ANTHONY'S PRIMARY SCHOOL,103.7490186,1.3642757
ST. GABRIEL'S PRIMARY SCHOOL,103.8614704,1.3501699
ST. HILDA'S PRIMARY SCHOOL,103.9367967,1.3492906
ST. JOSEPH'S INSTITUTION JUNIOR,103.8457419,1.3167821
ST. MARGARET'S SCHOOL (PRIMARY),103.8456785,1.303732
ST. STEPHEN'S SCHOOL,103.9184626,1.3190605
TAMPINES NORTH PRIMARY SCHOOL,103.9489402,1.3606776
TAMPINES PRIMARY SCHOOL,103.9444913,1.3496767
TANJONG KATONG PRIMARY SCHOOL,103.9004471,1.3053187
TAO NAN SCHOOL,103.9112919,1.3049522
TECK GHEE PRIMARY SCHOOL,103.8510713,1.3654278
TECK WHYE PRIMARY SCHOOL,103.7542719,1.3837695
TELOK KURAU PRIMARY SCHOOL,103.9113621,1.330965
TEMASEK PRIMARY SCHOOL,103.9457544,1.3176287
TOWNSVILLE PRIMARY SCHOOL,103.8553113,1.3602655
UNITY PRIMARY SCHOOL,103.74729,1.403245
VALOUR PRIMARY SCHOOL,103.8989026,1.407197
WATERWAY PRIMARY SCHOOL,103.9182169,1.3988247
WELLINGTON PRIMARY SCHOOL,103.82234,1.4518842
WEST GROVE PRIMARY SCHOOL,103.6987287,1.3445337
WEST SPRING PRIMARY SCHOOL,103.7665989,1.3890565
WEST VIEW PRIMARY SCHOOL,103.7602263,1.3837082
WESTWOOD PRIMARY SCHOOL,103.7003201,1.3475751
WHITE SANDS PRIMARY SCHOOL,103.9612928,1.3649395
WOODGROVE PRIMARY SCHOOL,103.7905304,1.4334662
WOODLANDS PRIMARY SCHOOL,103.7912619,1.4367694
WOODLANDS RING PRIMARY SCHOOL,103.7970082,1.4345047
XINGHUA PRIMARY SCHOOL,103.8901548,1.3578911
XINGNAN PRIMARY SCHOOL,103.6877208,1.3428242
XINMIN PRIMARY SCHOOL,103.8829183,1.3711608
XISHAN PRIMARY SCHOOL,103.8378986,1.4336635
YANGZHENG PRIMARY SCHOOL,103.8683258,1.3488686
YEW TEE PRIMARY SCHOOL,103.7503226,1.3969974
YIO CHU KANG PRIMARY SCHOOL,103.8856573,1.3779206
YISHUN PRIMARY SCHOOL,103.8340815,1.4335388
YU NENG PRIMARY SCHOOL,103.9324486,1.3339872
YUHUA PRIMARY SCHOOL,103.7408958,1.3428455
YUMIN PRIMARY SCHOOL,103.9509904,1.3515058
ZHANGDE PRIMARY SCHOOL,103.826395,1.2840704
ZHENGHUA PRIMARY SCHOOL,103.7692881,1.3798596
ZHONGHUA PRIMARY SCHOOL,103.8698395,1.3601834
